codigo_ibge,anomes_s,cadun_qtd_pessoas_cadastradas_i
110001,202412,11993
110002,202412,45155
110003,202412,2788
110004,202412,41841
110005,202412,7600
110006,202412,5364
110007,202412,3337
110008,202412,9449
110009,202412,13993
110010,202412,27255
110011,202412,24582
110012,202412,54360
110013,202412,20973
110014,202412,10025
110015,202412,17126
110018,202412,13970
110020,202412,251715
110025,202412,13294
110026,202412,1996
110028,202412,22406
110029,202412,4555
110030,202412,42062
110032,202412,11697
110033,202412,16296
110034,202412,8166
110037,202412,4731
110040,202412,9475
110045,202412,13959
110050,202412,4981
110060,202412,3225
110070,202412,5023
110080,202412,17681
110090,202412,1978
110092,202412,5136
110094,202412,9673
110100,202412,5855
110110,202412,5665
110120,202412,4230
110130,202412,7030
110140,202412,8390
110143,202412,4478
110145,202412,2926
110146,202412,1893
110147,202412,2462
110148,202412,3222
110149,202412,9942
110150,202412,7876
110155,202412,2818
110160,202412,4949
110170,202412,5785
110175,202412,6865
110180,202412,3699
120001,202412,10636
120005,202412,8939
120010,202412,18713
120013,202412,9338
120017,202412,8950
120020,202412,60265
120025,202412,10956
120030,202412,27870
120032,202412,8754
120033,202412,16178
120034,202412,11355
120035,202412,16168
120038,202412,10703
120039,202412,9754
120040,202412,191108
120042,202412,12677
120043,202412,6305
120045,202412,14659
120050,202412,36215
120060,202412,40714
120070,202412,12570
120080,202412,16419
130002,202412,14315
130006,202412,10203
130008,202412,9946
130010,202412,12638
130014,202412,12642
130020,202412,12314
130030,202412,41866
130040,202412,14483
130050,202412,28549
130060,202412,33134
130063,202412,21792
130068,202412,13592
130070,202412,23288
130080,202412,27136
130083,202412,10191
130090,202412,12264
130100,202412,25171
130110,202412,24589
130115,202412,16699
130120,202412,56768
130130,202412,19175
130140,202412,27535
130150,202412,14574
130160,202412,21959
130165,202412,13757
130170,202412,40335
130180,202412,15216
130185,202412,52207
130190,202412,74878
130195,202412,10194
130200,202412,8944
130210,202412,7190
130220,202412,9314
130230,202412,22888
130240,202412,40498
130250,202412,83898
130255,202412,16235
130260,202412,1120026
130270,202412,38756
130280,202412,14939
130290,202412,50635
130300,202412,17923
130310,202412,23792
130320,202412,12781
130330,202412,15532
130340,202412,78439
130350,202412,15073
130353,202412,22608
130356,202412,17508
130360,202412,11165
130370,202412,26065
130380,202412,41812
130390,202412,32730
130395,202412,8718
130400,202412,9849
130406,202412,48451
130410,202412,17571
130420,202412,58104
130423,202412,15809
130426,202412,11763
130430,202412,13321
130440,202412,16582
140002,202412,8483
140005,202412,11803
140010,202412,203979
140015,202412,14405
140017,202412,18590
140020,202412,16562
140023,202412,9414
140028,202412,5759
140030,202412,16025
140040,202412,13722
140045,202412,21622
140047,202412,19836
140050,202412,6117
140060,202412,6339
140070,202412,13277
150010,202412,129786
150013,202412,5236
150020,202412,49157
150030,202412,38449
150034,202412,10624
150040,202412,46434
150050,202412,25777
150060,202412,75444
150070,202412,30973
150080,202412,235767
150085,202412,27412
150090,202412,38847
150095,202412,19212
150100,202412,12038
150110,202412,20650
150120,202412,26848
150125,202412,2710
150130,202412,81861
150140,202412,693299
150145,202412,15289
150150,202412,50399
150157,202412,11200
150160,202412,10528
150170,202412,89986
150172,202412,15413
150175,202412,6185
150178,202412,33580
150180,202412,90906
150190,202412,23241
150195,202412,16802
150200,202412,18372
150210,202412,107640
150215,202412,48109
