Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Idade (Código),Idade
6,Município,2,%,91.59,1100015,Alta Floresta D'Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.08,1100023,Ariquemes - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.82,1100031,Cabixi - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,93.71,1100049,Cacoal - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,92.15,1100056,Cerejeiras - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.47,1100064,Colorado do Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.52,1100072,Corumbiara - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,92.92,1100080,Costa Marques - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,92.01,1100098,Espigão D'Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.16,1100106,Guajará-Mirim - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,92.39,1100114,Jaru - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,94.37,1100122,Ji-Paraná - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.65,1100130,Machadinho D'Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.36,1100148,Nova Brasilândia D'Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
